Model,DAG,Year,# Features,# Biomarkers,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE
XGB,Control,All,521,28,"0.78 (0.75, 0.82)","0.92 (0.90, 0.93)","0.90 (0.88, 0.92)","0.80 (0.78, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.093
XGB,Control,2020,521,28,"0.79 (0.73, 0.85)","0.91 (0.88, 0.94)","0.91 (0.88, 0.94)","0.80 (0.76, 0.84)","0.84 (0.81, 0.87)","0.93 (0.92, 0.95)",0.113
XGB,Control,2021,521,28,"0.80 (0.74, 0.85)","0.93 (0.91, 0.96)","0.91 (0.88, 0.95)","0.80 (0.77, 0.84)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.087
XGB,Control,2022,521,28,"0.80 (0.74, 0.86)","0.93 (0.89, 0.96)","0.90 (0.86, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.086
XGB,Correlation,All,53,20,"0.75 (0.71, 0.78)","0.89 (0.87, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.80)","0.83 (0.80, 0.85)","0.94 (0.93, 0.95)",0.114
XGB,Correlation,2020,53,20,"0.75 (0.69, 0.81)","0.89 (0.85, 0.92)","0.88 (0.84, 0.91)","0.76 (0.72, 0.80)","0.80 (0.76, 0.84)","0.92 (0.90, 0.93)",0.131
XGB,Correlation,2021,53,20,"0.76 (0.69, 0.82)","0.89 (0.86, 0.93)","0.92 (0.89, 0.95)","0.80 (0.76, 0.84)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.109
XGB,Correlation,2022,53,20,"0.78 (0.72, 0.84)","0.91 (0.87, 0.94)","0.93 (0.90, 0.96)","0.82 (0.78, 0.86)","0.87 (0.83, 0.90)","0.96 (0.95, 0.97)",0.106
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,All,131,7,"0.76 (0.73, 0.80)","0.91 (0.89, 0.92)","0.89 (0.87, 0.91)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.93, 0.95)",0.104
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,131,7,"0.76 (0.69, 0.81)","0.89 (0.86, 0.92)","0.88 (0.84, 0.92)","0.78 (0.74, 0.82)","0.82 (0.79, 0.85)","0.93 (0.91, 0.94)",0.122
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,2021,131,7,"0.79 (0.73, 0.84)","0.93 (0.90, 0.95)","0.90 (0.86, 0.93)","0.79 (0.75, 0.83)","0.83 (0.80, 0.87)","0.95 (0.93, 0.96)",0.096
XGB,Simplified Clinician Consensus $\cup$ Simplified PCMB,2022,131,7,"0.80 (0.73, 0.85)","0.91 (0.87, 0.95)","0.91 (0.87, 0.95)","0.83 (0.79, 0.87)","0.87 (0.83, 0.90)","0.96 (0.95, 0.97)",0.096
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,All,204,11,"0.77 (0.74, 0.81)","0.91 (0.90, 0.93)","0.91 (0.89, 0.93)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.101
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,2020,204,11,"0.79 (0.74, 0.84)","0.92 (0.89, 0.94)","0.92 (0.89, 0.95)","0.80 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.120
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,2021,204,11,"0.79 (0.73, 0.84)","0.92 (0.89, 0.95)","0.92 (0.88, 0.95)","0.79 (0.75, 0.83)","0.84 (0.80, 0.87)","0.95 (0.94, 0.96)",0.095
XGB,Simplified Clinician Consensus $\cup$ Simplified Golem,2022,204,11,"0.80 (0.74, 0.86)","0.93 (0.89, 0.95)","0.91 (0.88, 0.95)","0.81 (0.77, 0.85)","0.85 (0.82, 0.89)","0.96 (0.95, 0.97)",0.092
XGB,Simplified Golem $\cup$ Simplified PCMB,All,223,12,"0.77 (0.73, 0.80)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.098
XGB,Simplified Golem $\cup$ Simplified PCMB,2020,223,12,"0.77 (0.71, 0.82)","0.90 (0.87, 0.93)","0.93 (0.91, 0.96)","0.78 (0.74, 0.82)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.115
XGB,Simplified Golem $\cup$ Simplified PCMB,2021,223,12,"0.79 (0.73, 0.84)","0.93 (0.90, 0.95)","0.91 (0.88, 0.95)","0.79 (0.75, 0.84)","0.84 (0.80, 0.88)","0.95 (0.94, 0.96)",0.092
XGB,Simplified Golem $\cup$ Simplified PCMB,2022,223,12,"0.79 (0.73, 0.85)","0.93 (0.89, 0.96)","0.90 (0.86, 0.94)","0.81 (0.76, 0.85)","0.84 (0.81, 0.88)","0.95 (0.94, 0.97)",0.092
XGB,Simplified Clinician Consensus,All,93,5,"0.73 (0.69, 0.76)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.75, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.108
XGB,Simplified Clinician Consensus,2020,93,5,"0.75 (0.69, 0.81)","0.89 (0.86, 0.92)","0.88 (0.84, 0.91)","0.78 (0.74, 0.82)","0.82 (0.78, 0.85)","0.92 (0.91, 0.94)",0.129
XGB,Simplified Clinician Consensus,2021,93,5,"0.71 (0.64, 0.77)","0.88 (0.85, 0.91)","0.89 (0.85, 0.93)","0.77 (0.73, 0.82)","0.82 (0.78, 0.86)","0.94 (0.93, 0.95)",0.102
XGB,Simplified Clinician Consensus,2022,93,5,"0.77 (0.71, 0.83)","0.91 (0.88, 0.94)","0.93 (0.89, 0.96)","0.80 (0.76, 0.84)","0.85 (0.81, 0.88)","0.96 (0.95, 0.97)",0.097
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,All,93,5,"0.73 (0.69, 0.76)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.75, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.108
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,2020,93,5,"0.75 (0.69, 0.81)","0.89 (0.86, 0.92)","0.88 (0.84, 0.91)","0.78 (0.74, 0.82)","0.82 (0.78, 0.85)","0.92 (0.91, 0.94)",0.129
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,2021,93,5,"0.71 (0.64, 0.77)","0.88 (0.85, 0.91)","0.89 (0.85, 0.93)","0.77 (0.73, 0.82)","0.82 (0.78, 0.86)","0.94 (0.93, 0.95)",0.102
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,2022,93,5,"0.77 (0.71, 0.83)","0.91 (0.88, 0.94)","0.93 (0.89, 0.96)","0.80 (0.76, 0.84)","0.85 (0.81, 0.88)","0.96 (0.95, 0.97)",0.097
XGB,Simplified PCMB,All,131,7,"0.76 (0.73, 0.80)","0.91 (0.89, 0.92)","0.89 (0.87, 0.91)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.93, 0.95)",0.104
XGB,Simplified PCMB,2020,131,7,"0.76 (0.69, 0.81)","0.89 (0.86, 0.92)","0.88 (0.84, 0.92)","0.78 (0.74, 0.82)","0.82 (0.79, 0.85)","0.93 (0.91, 0.94)",0.122
XGB,Simplified PCMB,2021,131,7,"0.79 (0.73, 0.84)","0.93 (0.90, 0.95)","0.90 (0.86, 0.93)","0.79 (0.75, 0.83)","0.83 (0.80, 0.87)","0.95 (0.93, 0.96)",0.096
XGB,Simplified PCMB,2022,131,7,"0.80 (0.73, 0.85)","0.91 (0.87, 0.95)","0.91 (0.87, 0.95)","0.83 (0.79, 0.87)","0.87 (0.83, 0.90)","0.96 (0.95, 0.97)",0.096
XGB,Simplified Golem,All,149,8,"0.76 (0.72, 0.79)","0.91 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102
XGB,Simplified Golem,2020,149,8,"0.74 (0.68, 0.80)","0.89 (0.86, 0.92)","0.88 (0.84, 0.92)","0.76 (0.72, 0.80)","0.81 (0.77, 0.84)","0.92 (0.90, 0.94)",0.121
XGB,Simplified Golem,2021,149,8,"0.79 (0.73, 0.84)","0.92 (0.89, 0.95)","0.91 (0.88, 0.95)","0.81 (0.77, 0.85)","0.85 (0.82, 0.88)","0.95 (0.94, 0.96)",0.096
XGB,Simplified Golem,2022,149,8,"0.81 (0.75, 0.87)","0.94 (0.90, 0.97)","0.90 (0.87, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.095
XGB,Simplified Golem $\cap$ Simplified PCMB,All,57,3,"0.71 (0.68, 0.75)","0.89 (0.87, 0.91)","0.86 (0.84, 0.89)","0.77 (0.75, 0.80)","0.81 (0.79, 0.83)","0.93 (0.93, 0.94)",0.113
XGB,Simplified Golem $\cap$ Simplified PCMB,2020,57,3,"0.74 (0.67, 0.80)","0.88 (0.84, 0.91)","0.89 (0.85, 0.93)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.92 (0.91, 0.94)",0.126
XGB,Simplified Golem $\cap$ Simplified PCMB,2021,57,3,"0.72 (0.65, 0.79)","0.91 (0.88, 0.94)","0.87 (0.83, 0.91)","0.78 (0.74, 0.82)","0.82 (0.78, 0.85)","0.94 (0.93, 0.95)",0.107
XGB,Simplified Golem $\cap$ Simplified PCMB,2022,57,3,"0.73 (0.66, 0.80)","0.90 (0.86, 0.94)","0.85 (0.81, 0.89)","0.80 (0.75, 0.84)","0.82 (0.78, 0.86)","0.95 (0.93, 0.96)",0.108
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,All,38,2,"0.66 (0.62, 0.70)","0.86 (0.84, 0.88)","0.85 (0.82, 0.87)","0.74 (0.72, 0.76)","0.78 (0.76, 0.80)","0.93 (0.92, 0.93)",0.116
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,2020,38,2,"0.70 (0.62, 0.76)","0.87 (0.83, 0.90)","0.87 (0.82, 0.90)","0.74 (0.70, 0.78)","0.79 (0.75, 0.82)","0.91 (0.90, 0.93)",0.129
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,2021,38,2,"0.66 (0.59, 0.73)","0.86 (0.82, 0.90)","0.84 (0.79, 0.88)","0.73 (0.69, 0.77)","0.77 (0.73, 0.81)","0.93 (0.91, 0.94)",0.111
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,2022,38,2,"0.66 (0.59, 0.74)","0.88 (0.84, 0.91)","0.83 (0.78, 0.87)","0.76 (0.72, 0.80)","0.79 (0.75, 0.83)","0.94 (0.93, 0.95)",0.110
